Abhishek > Abhijeet, Abhijit, Abhishekh, Abishek
Rama > Ramaa, Raama, Ramah, Ramaa

Raj > Raaj, Raaj, Rajj, Raaj

Chinmay > Chinmaye, Chinmayee, Chinnmay, Chinmey

Chahat > Chahath, Chahaht, Chahat, Chaahat

Sourav > Souraav, Sourw, Souraav, Souwrav

Desh > Deshh, Deshy, Deshe, Desha

Raashi > Raashi, Rashii, Rashee, Raashee

Ram > Raam, Rammm, Ramm, Rame

Laxmi > Laxmii, Laxime, Laxxmi, Laxhmi

Krishan > Krishan, Krisna, Krishn, Krishaann

Yatharth > Yatarth, Yatharth, Yathrath, Yathaarth

Mridul > Mreedul, Mrudil, Mridule, Mrudhul

Vinay > Vinayy, Vinaay, Veenay, Vinayee

Sreekanth > Sreekant, Srikanth, Shreekant, Sreekanth

Sweta > Swetha, Swweta, Swaeta, Swheeta

Thaanya > Thanya, Thanyaa, Thaaanya, Tanyaa

Rakesh > Raakesh, Rakeesh, Rakesh, Rakash

Pinky > Piniy, Pinkie, Pinny, Pinky

Raju > Raaju, Rajoo, Raajuu, Rajjoo

Rajiv > Raajiv, Rajivv, Rajeve, Rajeve

Rajkumar > Raajkumar, Rajukumaar, Rrajkumar, Rajumar

Pushkar > Pushkaar, Pushkr, Pushkkar, Pushkarr

Asutosh > Aashutosh, Ashootosh, Asutosh, Aushutosh

Pradip > Pradeep, Praddip, Pradipp, Pradep

Mrityunjay > Mrityunjayy, Mrityunjaay, Mrityunajay, Mritiyunjay

Kavish > Kavishe, Kavishh, Kaavish, Cavish

Monica > Monikaa, Monicca, Monikaa, Moneeka

Sabareesh > Sabareeshh, Sabareash, Sabarech, Sabarish

Lakshmi > Laxmee, Laksmi, Laxxmi, Lachemi

Love > Luv, Lovvee, Loove, Luvh

Lekhraj > Lekraj, Lekharaj, Lekkharaj, Lekkraj

Sahil > Sahiil, Shail, Shaih, Sahiill

Seshikanth > Sheshekanth, Sheshekanth, Seskanth, Seshkath

Kalpana > Kalpanaa, Kalphanah, Calpana, Kalphenna

Santosh > Sanntosh, Santoche, Santtosh, Santhosh

Kapil > Kaapil, Kapile, Cappil, Kapyll

Subash > Subhas, Subeash, Subhash, Shubash

Raunak > Raunakk, Ronak, Raunak, Rounak

Mangal > Manggal, Maangal, Mangale, Mangall

Tejas > Tejaas, Thijas, Thejas, Thaijas

Mayur > Mayurr, Mayure, Maayur, Mayurr

Ravisankar > Ravishnkar, Raviishankar, Raavisankar, Ravishankar

Mahesh > Maheesh, Mheesh, Mahashe, Mahhes

Mahato > Mahaato, Mhato, Mahahto, Mahatto

Aaryan > Aryaan, Aarynn, Aarya, Aaryyan

Manas > Maanas, Mnaas, Manas, Maenaas

Surbhi > Surbhee, Suurbhi, Sorbi, Surbhie

Deepshikha > Deepashikha, Dheepshikha, Dhepshika, Deepshika

Amar > Amaar, Ammar, Amahr, Ammar

Anuj > Anuuj, Anujh, Anooj, Anjuj

Siddhesh > Siddheshe, Siddhess, Sidheshh, Sidddhesh

Venkata > Venkaata, Vinkata, Venkate, Venkataa

Renu > Rennu, Reenu, Reanne, Rhenna

Farhan > Farhann, Fahran, Farhaun, Faarhan

Vignesh > Vigneesh, Vigheesh, Vigmesh, Vignash

Abhimanyu > Abimanyu, Abhimann, Abiman, Abhyimanyu

Faraz > Faaraz, Farazz, Farasz, Faaaraz

Bilal > Billaal, Billal, Bilaal, Bhilal

Abhilash > Abhlaash, Abhilasha, Abhiilash, Abheelaash

Vaishali > Vaishaali, Vaeshali, Vaishaalli, Vaishaalie

Apoorva > Apoorvaa, Apurva, Apurvaa, Aapurva

Hemlata > Hemelata, Heemlata, Himlatha, Hemlalata

Aanchal > Anchaal, Aaanchal, Anchal, Aaaanchal

Sathwika > Sathvika, Sathwicka, Sathika, Satvika

Deepa > Deeeepa, Dheepa, Deppa, Deeppaa

Utkarsha > Utkarsha, Utkaaarsha, Uthkarsha, Uthkaarsha

Deep > Dheep, Depep, Deepe, Deeeep

Dushyant > Dushyantt, Dushyanth, Dushyant, Dushant

Anshuman > Anshooman, Anshumaan, Anshumaan, Anshama

Sukumaran > Sukhumaran, Sukkumararn, Sukumaarran, Sookumaran

Chandran > Chandren, Chandranh, Chahndran, Chrandran

Anshul > Anshool, Anshull, Aanshul, Anshhull

Saanchi > Saanchy, Saanchi, Saanchee, Saanche

Aadil > Aadeel, Aadill, Aaadil, Aadeil
Ali > Aali, Ale, Alee, Alli

Nishant > Nishannt, Nisheant, Nishanth, Neshaant

Aaditya > Aadiitya, Aadityaa, Aaaditya, Aadiya

Vipasha > Vipassha, Vipaasha, Vipashaa, Vipaashah

Abbas > Abbaas, Abbass, Abass, Abhaas

Anubha > Anubhaa, Aanubha, Anubhaah, Aanubbha

Chandra > Chandrra, Chandrah, Chaandra, Chaanndra

Ayesha > Ayeshaah, Aayesha, Aysha, Aayeshaa

Rizwa > Rizwah, Rizvaa, Rizzwa, Rizwaha

Sanjeeda > Sanjeedaa, Sanjjida, Sajeeda, Saajeedah

Devadathan > Devedathhan, Devdatan, Devadattan, Davadathan

Vardhamann > Vardaman, Vardhaaman, Vardhman, Vardhaamn

Sairam > Saiiram, Sairaam, Sairam, Sairam

Abhedhya > Abheddhya, Abhedhya, Abhedhay, Abheddhyaa

Gnaneswar > Gnaaneswar, Gnaneshwar, Gnaneeshwar, Gnanesar

Sara > Seraa, Saarah, Saraa, Saira

Rupal > Roopal, Rupaall, Ruupal, Rupaal

Sahaj > Sahjay, Sahjj, Saahaj, Sahaaj

Robin > Robyn, Rrobinn, Roobyn, Robbin

Rupanjali > Rupajal, Rupanjal, Roopanjali, Roopajjali

Rupeshwary > Roopeshwary, Roopeshwari, Roopeshwari, Rupeswari

Brahmaputra > Brahamputra, Brahmaputrah, Brahmputra, Braahmaputra

Hariharan > Harihaaran, Harriharan, Haariharan, Harrihara

Pranav > Praanav, Pranv, Pranavh, Pranaav

Babu > Babuu, Baabu, Baboo, Bhaboo

Bibhu > Bhibhu, Bibho, Bebhu, Bhhibhu

Chirayu > Chirayuu, Cheeryu, Chirrayu, Chirryu

Sameeksha > Sameekshaah, Sameeksha, Sameeksah, Sameaksha

Ashmita > Ashmitta, Ashmitha, Ashmitaa, Aashmita

Chhavi > Chavvi, Chavi, Chaavvi, Chhavi

Shreepriya > Shreepriyaa, Shreepreya, Shreepriyah, Shreepreiya

Nahid > Naahid, Nahed, Nahidd, Nahhid

Sharique > Shareequ, Shariq, Shaarique, Sharriqu

Anusha > Aanusha, Anooosha, Anushaah, Anouusha

Anunay > Aanunay, Anuunay, Anunayy, Anuunay

Vidit > Veedit, Viditt, Vidditt, Veeditt

Shwetanshi > Shwetashni, Shwetashi, Shwethanshi, Shwetanchi

Anshit > Aanisshit, Anshith, Anshitth, Annshit

Anubhuti > Anubhuuti, Anuubhuti, Anuubhuthi, Anuubhutti

Vashif > Vashiiff, Waashif, Vaasif, Vashii

Jahangeer > Jaahangeer, Jahangeeer, Jahageer, Jahengeer

Sharanya > Sharanaya, Shaaranya, Sharenya, Sharaanya

Saudamini > Soudaamini, Saudaamini, Saudamni, Soudaminni

Arshad > Arshaad, Arshdd, Aarshad, Arshed

Yeram > Yeraam, Yerram, Yiram, Yeramm

Asad > Aasad, Asaad, Asad, Aasidd

Asthana > Asthanah, Assthna, Aasthanaa, Asathna

Asmita > Asmittaa, Asmitaa, Asmitha, Aasmitah

Ashal > Aashal, Aasheel, Ashale, Aashel

Zeal > Zeeaal, Zele, Zeaal, Zealh

Areeb > Aareeb, Areb, Arribe, Areeb

Archita > Aarcheeta, Archeetah, Archittaa, Arechitaa

Archi > Archee, Arshee, Archee, Arshhee

Arish > Aarish, Arash, Ahrish, Aarishh

Shyamali > Shymal, Shyamaali, Shiyamali, Shaamali

Sejal > Seejal, Sejaal, Sejal, Seejal

Shaileja > Shailejah, Shaeeleja, Sheleja, Shaileeja

Gitanshu > Gitaanshu, Geetanshu, Gittanshu, Geetanshhu

Mansoon > Mansun, Mannsoon, Maansoon, Mansoun

Akshaya > Aashaya, Akshaayaa, Aakshaya, Akshaaya

Madhusri > Madhuusri, Madhussri, Madusree, Madhushri

Meet > Meetth, Mete, Meett, Mheat

Prajeeth > Prajeet, Preejeeth, Prajeeith, Prajith

Gyanvi > Gyanvii, Gyani, Gyanvie, Gyhanvi

Govindam > Goveendham, Govvindaam, Govindham, Govindam

Mairaz > Mairaaz, Mairazz, Maearaz, Mayraz

Abhilasha > Abhilashaah, Abheelaasaa, Abhilasha, Abheelaasha

Mritunjay > Mritunjaay, Mriteunjay, Mritunjaya, Mritunjayya

Mudit > Mudit, Mudith, Mudithh, Mudeet

Mubasshira > Mubashira, Mubasshiraah, Mubasheera, Mubashhira

Goldy > Goldie, Golddey, Goldyy, Golddie

Monish > Moneesh, Maanish, Manish, Monish

Moosvi > Mousvi, Moussvi, Muusvi, Moossvi

Fariya > Faariya, Farriyah, Feraya, Feriya

Toshit > Tosheet, Tooshith, Tohseet, Toshith

Kanha > Kanaa, Kahnaa, Kahnaa, Kanhaah

Khalid > Khaalid, Khallid, Kahlid, Khaalidd

Kaushiki > Koushiki, Kaushikaa, Koshiki, Kaushhiki

Elamathi > Elaamathi, Ellamathi, Elammathi, Elleamathi

Vasundhara > Vasundra, Vaasundhara, Vassundhara, Vaasundhaaraa

Kandarp > Kandaap, Kandharpp, Kandharpa, Kanderp

Noopur > Noupur, Nooopur, Noopuur, Noopurr

Suchita > Suuchita, Suchitha, Suchithaa, Suuchetha

Sumaiya > Sumaiyaa, Sumayyia, Soumaiyaa, Summmaiya

Himanshi > Himanshe, Hemanshi, Himanshe, Hemanshee

Ibrahim > Ibraheem, Ebrahim, Ebbraahim, Ebbrhim

Jagriti > Jagritte, Jagritti, Jagreeti, Jagritthhi

Khansa > Khaanasa, Kahnsaa, Khaansah, Khansah

Kunaal > Kunal, Kounall, Kunnal, Kunall

Ishwa > Ishwaa, Iishwa, Eshwa, Ishwah

Joshika > Joushikaa, Joooshika, Joushikka, Jooshikaa

Sawan > Saaawan, Saawaan, Saawan, Sawhan

Priyesh > Prriyesh, Priishh, Preyesh, Priyyesh

Priyal > Preeyal, Priyyal, Preeal, Pryyal
Pradium > Pradiuum, Pradhiuum, Pradiumm, Pradhiium

Omhari > Omharri, Ommaari, Omharii, Omhaari

Pranidhi > Praneedhi, Pranithi, Praanidhi, Pranidhee

Leena > Leeena, Lina, Leenaa, Leenah

Harshada > Haarshada, Harshadda, Hharshada, Harshaadha

Prathmesh > Prathmeesh, Prathamesh, Praathmesh, Prathmash

Ritank > Ritunck, Rittank, Ritanck, Ritanhk

Rishit > Rishith, Rishitt, Risheet, Rrishti

Meenu > Meenoo, Meennu, Meenuu, Meenee

Ranjan > Ranjunn, Rannjan, Ranjhan, Ranjan

Shukant > Shukank, Shukaant, Shukhant, Shukhaant

Jashveer > Jashver, Jashveeer, Jaashveer, Jhhasveer

Nargis > Nargiess, Nargiiis, Naargis, Narghis

Shreyans > Shreyyaans, Shreyansh, Shreyaince, Shreyans

Manaswini > Maanaswini, Manaswinee, Maanaswiny, Manawsini

Neelu > Neeluu, Neelllu, Neeloo, Naeeloo

Mukund > Mukhund, Muukund, Mukundh, Mookund

Eshma > Eeeshma, Eschma, Eeshmaa, Eshema

Aruba > Arooba, Aaruba, Arubha, Aroobaa

Ehtisham > Ethisham, Ethisham, Ehtisam, Ethishaam

Nitya > Nityaa, Neetya, Nitya, Nityaah

Nishu > Nishoo, Neechu, Nishu, Nishuu

Noorsaba > Noooraba, Noorsabhaa, Norhsaba, Nooraba

Punya > Punnya, Punyaa, Poonya, Punyah

Nihal > Nihhal, Neehal, Nihaal, Nihl

Devyanti > Deveentee, Devyanthii, Dhevyanti, Dhevyantee

Nishchay > Nishchai, Neshchay, Nishchae, Nishchay

Shagun > Shaagun, Shahgun, Shaguun, Shaghn

Joy > Joi, Jooy, Joiy, Joyee

Reshami > Reshamee, Rhesami, Reshaami, Resshami

Ronit > Ronith, Roniete, Ronitth, Ronitt

Rishu > Rishuu, Reshuu, Rishu, Reeeshu

Prasun > Prasune, Prassun, Prasoone, Prrasun

Prakharendra > Prakhrendra, Prakareendra, Prrakhendra, Prakhrendra

Priyamvada > Priyamwaada, Priyamvaada, Priyavada, Priyaamwada

Rajneesh > Rajnesh, Rajneeshe, Rajnesh, Raajnesh

Kausar > Kaussar, Kawsar, Khaussar, Kawassar

Rouby > Roubye, Roouby, Robye, Rooubi

Sanket > Sankeet, Sankhete, Saanket, Sannket

Hari > Harii, Harri, Hary, Haari

Saumile > Saumille, Saumielle, Saomile, Sahmile

Shagufta > Shagooftaa, Shaguftaa, Shaguftaah, Shugufta

Shaad > Shad, Shaadd, Shaad, Shhaad

Rupali > Roopali, Ruupali, Rupali, Roopalih

Jenamani > Jaenamani, Jenamaani, Jenamanie, Jaenamani

Sadiya > Saadiya, Saadiyah, Saadya, Sadieya

Saksham > Saaksham, Sakshem, Sakhsham, Saaksham

Saharsh > Saharssh, Sahersh, Sahhrash, Saaharash

Kushan > Koushan, Kushaan, Kushhn, Kushahan

Munthala > Munthalhah, Munthallaa, Munthaala, Munthaalaa

Mini > Minie, Minee, Minnnie, Mini

Mrinal > Mrinall, Mrinaal, Mrrinal, Mrnall

Mudita > Muditaa, Mudiithaa, Mudithaa, Mudiitaa

Mrinalini > Mrinnaalini, Mrinalinee, Mrinaliniie, Mrinaalini

Medha > Medhaa, Meedha, Meddha, Medhah

Meenal > Meenaal, Meenall, Meenal, Meenalh

Nageshwar > Nageeshwar, Nagheeshwar, Nageshvaar, Nageshawar

Miren > Meeren, Miiren, Mieeren, Mirenn

Pardhuman > Paradhuman, Pardhumanh, Purdhuman, Pardhumaan

Parth > Pahth, Parthh, Paarth, Parthh

Prajal > Prajjal, Prajal, Praajal, Prajjal

Naseer > Nassir, Naser, Naseeer, Naaseer

Nalin > Naalin, Nalhin, Naalin, Nallin

Nav > Naav, Nava, Navv, Nnav

Niti > Neeti, Neeti, Neehti, Neti

Nawaz > Nawazz, Nawaaz, Naawaz, Nuwaz

Shamseer > Shamsheer, Shaamseer, Shameshe, Shamsear

Tavish > Tavishh, Taavish, Taevish, Thavish

Tarushi > Tarushie, Tarushe, Tharushi, Tarushe

Tripti > Triptee, Triipti, Thripti, Tripthee

Udbhav > Udbhaav, Udbhav, Udbhhaav, Udebhav

Tuhina > Tuheena, Thuhina, Tuhinaa, Tuhhinah

Talin > Taleen, Taalin, Thalin, Talhin

Tahreem > Taahreem, Taareem, Taareem, Taahreeme

Tanupriya > Tanopriya, Taanupriya, Tanopriyaa, Tanuuppriya

Tarique > Taarique, Tharique, Tharic, Tarriq

Tariq > Tarriq, Tharic, Tarik, Taariq

Utsav > Utsaav, Utsavi, Utsave, Uttsav

Wasil > Waseel, Waasil, Wassil, Wassill

Abdur > Abdurr, Abdoor, Abdhur, Abdurh

Yogansh > Yogaanch, Yogaanh, Yoganshh, Yoghansh

Zoheb > Zoheeb, Zzoheb, Zohebb, Zohhebb

Yogita > Yoogitaa, Yogitaa, Yogitaa, Yogithaa

Vedanti > Vedaantee, Vedantii, Vedanthie, Vedenthi

Anas > Anash, Annas, Anaas, Annash

Vijendra > Vijendrah, Vijendraa, Vijender, Vijhedra

Abrar > Abraar, Abbraar, Abrahr, Abraarr

Afzan > Afzann, Affzan, Afzzan, Afzan

Suyesh > Suyyesh, Suyesh, Suayesh, Suuyesh

Shrey > Shree, Shree, Shreiy, Shhrey

Shivin > Shivinn, Shivini, Shiiwin, Shiviinn

Shreyaansh > Shreeyansh, Shreyaansh, Shryansh, Shreyannsh

Shubhanshi > Shubhanshie, Shoobhhanshi, Shhubhanshi, Shubhhanshi

Shubhankar > Shoobhank, Shubhankarr, Shhubhankar, Shubhankur

Shiba > Shibaa, Shibha, Shibaa, Shhba

Sharvan > Sharraavann, Sharvaan, Shaarravan, Shhervann
Shipra > Shipraa, Shypra, Shiprah, Shipraa

Bhanu > Bhaanu, Bhaanyu, Bhanou, Bhanuh

Shiv > Shyiv, Shivh, Shyyv, Shyiv

Shubhendu > Shoobhendu, Shubhenn, Shubhhendu, Shuhendu

Subhashini > Subhhashini, Subhashinee, Subashini, Subhashinii

Sriansh > Sryansh, Sriaansh, Srriansh, Sryansh

Armoghan > Armooghan, Armaghan, Aaromghan, Aaromgahan

Susheel > Sushel, Susheel, Sushheel, Susheell

Surjeet > Soorjeet, Surjeete, Suorjeet, Surjeet

Snehill > Snehil, Snaehill, Snehaill, Snahil

Balbir > Baalbir, Ballbir, Balbeer, Balheir

Snigdha > Snigdhha, Sneigdha, Snigdah, Snigdha

Arsalan > Arsallan, Arsaalan, Arhsalan, Arsalann

Som > Sohm, Some, Ssom, Soom

Abhisikta > Abhisiktaa, Abhsikta, Abhisekta, Abhsiktaa

Aarvi > Aarvii, Aarvie, Aarvvee, Aarvyy

Adhyantika > Adhyanthika, Adhyentika, Adhiantika, Adhyntika

Akhand > Aakhann, Akahand, Akahnd, Akhhnd

Aisha > Aiesha, Aayesha, Aaisha, Aishaah

Tabish > Taabish, Tabhish, Taabish, Tabbish

Yashveer > Yasveer, Yashvveer, Yashveerr, Yasheever

Zaineb > Zainibe, Zaeneb, Zaynab, Zahineb

Aamra > Aamara, Amra, Amrra, Amarah

Zufeshan > Zufeshann, Zufeshan, Zofeshan, Zufeshhan

Alim > Aleem, Aaleem, Aalemm, Allim

Antara > Aantara, Aantare, Antaraa, Anntara

Annushka > Anuushka, Annushkaa, Anushkaa, Aannushka

Aparsha > Aaparshee, Aparshaa, Aparshah, Aparsheh

Aqib > Aaqib, Aqheb, Akib, Akheb

Apurv > Apoorva, Apuurv, Apoorv, Apporv

Amish > Amiesh, Ameesh, Aamish, Ammish

Alina > Aleena, Alinah, Aaleena, Allina

Anavi > Anaavi, Aanaavi, Anavii, Anavie

Ankush > Aankush, Annkush, Ankosh, Anqush

Angad > Angaad, Angaad, Aangad, Angaad

Yashaswini > Yasaswini, Yashswini, Yashaswinee, Yashwinini

Uday > Udaay, Udays, Udaysh, Udhay

Srikrishan > Srikrishna, Srkrishan, Shrikrishan, Srkrishna

Yashwanth > Yashwath, Yashwanthh, Yaswanth, Yashwunth

Vishwanath > Viswhanth, Vishwaanath, Vishwananth, Vishwanth

Yashwant > Yashuwant, Yashwantt, Yashwnt, Yashvwant

Soni > Sooni, Soonii, Sonii, Sony

Snehal > Snehaal, Snehal, Snehall, Snehel

Sony > Sonee, Soony, Soniy, Sonny

Swasti > Swashti, Swastee, Swastii, Swathy

Jimi > Jiimi, Jymi, Jimii, Jimmi

Utpal > Utopaal, Utppal, Uttopaal, Utopal

Vishwa > Viswa, Vishvva, Veeshwa, Vvishwa

Vidushi > Vidushee, Vidushii, Vidhushi, Vidooshe

Vishwas > Vishvass, Visvass, Vishwasa, Vishwss

Yachna > Yacchna, Yachnaa, Yachena, Yacna

Vyom > Vyomm, Vyoom, Vayom, Vayomm

Vaishavi > Vaaishavi, Vashavi, Vaishaavi, Vaaishvi

Vagisha > Vaaghisha, Vagishaa, Vaagisha, Vaghesha

Varenyam > Vaareynyam, Vahrenyam, Vaarenyam, Varanyam

Vidhi > Vidhee, Vidy, Vidii, Vidhi

Umamaheshwara > Umamaaheshwara, Umamaaheeshwara, Umaaheshwara, Umaheshwara

Archit > Archeet, Arkhit, Aarchit, Archiitt

Janhvi > Jahnvii, Jaanhavi, Janavi, Jahni

Imaduddeen > Immadudeen, Imeduddeen, Imanuddeen, Imudddeen

Kalash > Kaalash, Kalassh, Kalosh, Khalash

Kanchan > Khanchn, Kanchaan, Kanchn, Kaanchan

Kalindi > Kaalindi, Kallindi, Kalinde, Khalindi

Hira > Heera, Heerah, Heerah, Heira

Gurjot > Gurjoet, Gurrjot, Gurjyot, Gurjoat

Hritika > Hrethika, Hreetika, Hritikah, Hrritika

Hunny > Hunnyy, Hunnie, Honi, Hunnii

Humaira > Humaeira, Humayra, Humaera, Humeira

Kashif > Kaashif, Khasif, Kaashef, Kaaashef

Mamta > Mamtah, Mamtaaa, Mamtahh, Mamtah

Maanvi > Maanavi, Maahnavi, Maavee, Maanvvi

Mandeep > Mandeeep, Manndeep, Mandeep, Mandeep

Manvendra > Manvvendra, Maanvendra, Manvedra, Manveendra

Manideep > Manndip, Manidep, Manndeep, Mnaideep

Kaushambi > Koushambi, Kousamby, Kaushambie, Kaushhambhi

Kasturi > Kasthoori, Kastrooi, Kasthuri, Kaashtoori

Kaushik > Koushikh, Koushik, Kousiik, Kaushick

Laiba > Laiyba, Lhaiba, Lyba, Laiybah

Kenisha > Keineshaa, Kennishe, Keeneisha, Kenishaa

Gitika > Geetika, Ghethika, Giticah, Geethikha

Atif > Athiff, Aatif, Atyf, Ateef

Ateequa > Ateeka, Atheequah, Athikah, Ateeqah

Atishay > Aatishay, Atshya, Atishah, Athishay

Shariq > Shareequ, Shariq, Sharic, Shareequ

Bhakti > Bhakthi, Bkkhakti, Bbhakti, Bhaakti

Sravan > Srawan, Sravnh, Sraavan, Sravahan

Areeba > Aaribaa, Areba, Aarriaba, Areeba

Asma > Aasma, Asmma, Aassma, Asmaa

Asif > Aasif, Aassif, Assif, Asheef

Shakkil > Shakil, Shakleel, Shakkkeel, Shaakil

Fatima > Faatimaa, Fatimmah, Faatima, Faatema

Satyendra > Satyandhraa, Satyendrah, Satiendra, Satyendrra

Garv > Gharv, Garvv, Gharave, Garvve

Geetika > Gheethika, Gitika, Geetikaa, Geetkah
Garvit > Gharvitt, Garvitt, Garvvit, Gaarvit

Devbrat > Devabraat, Devvrat, Devibrat, Debvrat

Devashish > Devsheesh, Devvashish, Deveshish, Devshish

Shakaib > Shakaibb, Shakaeb, Shakaib, Shakaib

Savan > Savaan, Savven, Saavann, Savhvan

Diptanshu > Diptansh, Diptanashu, Diptanshhh, Dipthanashu

Anjoo > Anjoo, Anjao, Aanjo, Anajoo

Shibashis > Shibasish, Shibashiss, Shebashis, Shabashis

Shazia > Shahzia, Shaziah, Shaazia, Shaziaah

Shivakumar > Shivekumar, Shivakumer, Shivakmar, Shevakumar

Shrikant > Shreekaant, Shreekant, Shreekanth, Shrikaanth

Sidarth > Sidharth, Siddaarth, Siddarth, Sidarth

Sayan > Saayan, Sayaaan, Syaaayan, Sayaan

Sanjit > Saanjit, Sajith, Saanjith, Sanjit

Snoopi > Snoupi, Snoopie, Snoopii, Snouppi

Sharuk > Shahruk, Sharukhh, Sharrukh, Shurakh

Shailvi > Shailvee, Shailvee, Shylvi, Shylvee

Shyamal > Shyaamaal, Shaymal, Shyammal, Shyaamal

Soubhagya > Soubhaghya, Shoubhagya, Subhagya, Soubhgy

Snehit > Snehith, Sneith, Snehhit, Snehheet

Soudeep > Soudeap, Soudeep, Soudeepe, Soudeeeep

Souvik > Shouvik, Sovik, Souvikk, Souvik

Soumyadeep > Soumydeap, Soemyadeep, Soumydeeeep, Shoumyadeep

Siddhi > Sidhhi, Siddhii, Siddhee, Siddi

Shubhkarman > Shubkaram, Shubhkarman, Shubhkaarman, Shubhkarman

Sivaganesh > Shiveganesh, Shivaganesh, Sivaganesh, Sivgnesh

Smitesh > Smeetesh, Smites, Smitheash, Smeetesh

Shrinivas > Shreenivas, Shrinivasa, Srinivas, Shriinivas

Sanjana > Sanjnaa, Saannajana, Sanjanaa, Saanjana

Qarib > Qarrib, Qaribh, Qareeb, Kareeb

Pranay > Praannay, Prane, Pranayh, Pranay

Rajamani > Rajamaany, Rajjmani, Rjamani, Rajamanie

Ramesh > Raamesh, Raamish, Reamesh, Rahmesh

Ramadoss > Ramodoss, Ramaadross, Rammdoss, Ramodoss

Sunish > Sunishe, Suneesh, Sunishe, Sunisheh

Nirlipta > Nirlipthha, Nirlipta, Nirlepta, Nerlepeta

Pradosh > Pradoshh, Prradosh, Pradoshh, Praddosh

Prakriti > Prakrithi, Prakrithii, Prakriti, Prakrithy

Subhashis > Shubhashis, Subhhasis, Shubhashish, Subhashis

Ranjeet > Ranjeeth, Ranjitt, Ranjith, Ranjeett

Sai > Saiee, Sye, Sayii, Saiye

Sahiti > Sahiiti, Saheti, Saahiti, Sahitee

Sajmi > Sajimi, Sajeemi, Saajmi, Sajjmi

Sangeeth > Sangeethe, Sangeath, Saangeeth, Sangeethh

Stalin > Sthalin, Satalin, Satlyn, Stailin

Rishav > Rishavv, Rishhiv, Risavv, Rishav

Riddhi > Riddhii, Ridhe, Ridheea, Riddi

Ruchika > Ruchikaa, Ruchikka, Roocheka, Ruchika

Safin > Saffin, Shafin, Shaffin, Shafinn

Sadiqa > Saadiqua, Sadiqah, Sadiiqaa, Sadiqha

Abhaysinha > Abhayyasiha, Abhasinha, Abhayisiha, Ahaysinha

Aashish > Aashis, Aasheeish, Aaashish, Ashis

Anjana > Anjanaa, Anjhana, Aanjana, Anjana

Astitva > Asitthva, Astitvaa, Astiiva, Astitvah

Ankurjeet > Ankurjjet, Ankurjeeth, Ankurjeeet, Ankurjeet

Vibha > Vibhaa, Vibhaah, Veebha, Vibhaaa

Veena > Vina, Veenaa, Veina, Venna

Saravanan > Saravvaan, Sarvanaan, Sarawanan, Saravannan

Yashovardhan > Yashovadhaan, Yashvrdhan, Yashovaran, Yashoovardhan

Saimadhav > Saimadva, Saaymadhuv, Saimdauv, Saymadav

Avnindra > Aaanindra, Avindra, Aavnindra, Avindhra

Gaush > Gaushe, Gosh, Goosh, Gaaush

Digvijay > Digwije, Dighvijai, Dhigviya, Digvijee

Haaris > Haaeis, Haariss, Hahris, Haairess

Jag > Jahag, Jaag, Jahg, Jaag

Inabat > Inabhat, Iinabat, Inabatt, Innabat

Babitarani > Babitaranee, Babiterani, Babitaranie, Babitaraani

Rupinder > Rupindar, Rupiinr, Rupindir, Rupeeender

Bhavesh > Bavesh, Bhavvesh, Bhaavesh, Bhavesh

Deepro > Deeproo, Deepree, Deepru, Deeprao

Deepanshu > Deeppanshu, Depeenshu, Dheepanshu, Deepanshu

Varna > Vvarna, Varnna, Vaarna, Vaarrna

Sujan > Sjuen, Sujann, Sijan, Sujaen

Suhaas > Suuhaas, Sjaas, Suaas, Shuhaas

Sukrit > Skuereth, Sukreth, Suukrit, Sukritt

Suprabha > Suprabaa, Suuprabha, Suuprbha, Suprabhaa

Sulochana > Sulochanaah, Solocnaa, Suulocnhaa, Sulochanah

Sravani > Sraavanee, Sraavaan, Sravnni, Sraavani

Sowjanya > Sowjanyah, Sowjoanyha, Suujnyah, Soujanya

Sravya > Sravyyaa, Sraavya, Sravay, Srava

Sreelakshmi > Shreelaksmi, Sreelaxmi, Sreelaxmmi, Shreelakshmee

Surajit > Soorajit, Surajeet, Soorajitt, Surjit

Shahansha > Shaahansha, Shahanshh, Sahansha, Shahensha

Sheshidhar > Sheshidhra, Sesidhar, Seshedhar, Sheshihdar

Upamanyu > Uppamanyu, Uppamanyu, Uppamanyuu, Uupamanyu

Vangara > Vanggara, Vanngara, Vnggara, Vvngara

